gapId,title,primaryCategory,secondaryCategories,domainIds,currentStatus,targetLevel,severity,dependencies,acceptanceEvidence,recommendedOwnerArea,dependencyCriticality,safetyImpact,claimRisk,targetUnblockValue,observedFact,recommendation
gap-116a5fb9e83149fd782a,Normative language contract: Methods,Language_Gap,[],"[""domain-fbe7266f95fc90d9eac1""]",Unknown,T1_Independent_Language_Platform,Medium,[],"[""A normative specification for Methods with cross-revision compatibility guarantees and matching parser/typechecker evidence.""]",Language & type system,1,0,1,1,"Methods is documented in spec/language_core.md, spec/type_system.md with direct implementation evidence evidence-144d8c1ed5cd5ce830bf, evidence-19429a0e9339edd0ae79, evidence-1da33b48535aee270420, evidence-2274d0884e4bb05a4b7b, evidence-268264b031bca69dacf8, evidence-2eeda1ed4d6bcbe8ba41, evidence-36510b73f83da25ec5e4, evidence-588637a269b6497fbb2c, evidence-5e9356cb17ef95d4be12, evidence-64bece4cc18508fe729c, evidence-671e810b7e2ffe60fbb3, evidence-75e1ab5848df15d611f9, evidence-ab1211a8f56a35c0eb97, evidence-ae007f2fb227b343aae0, evidence-aeda7ee5443349dc5a62, evidence-b789df43e6f1c88b625e, evidence-b953368c149d6d373032, evidence-c48d330d91a1c571cee6, evidence-c79ceda34fd4137276cd, evidence-cbeee7c906e568ad120b, evidence-ccbe839da67a36757cd4, evidence-dd282ac22cd0e59062f2, evidence-e67eed220d2c48ee199b, evidence-ec91ba371bb7b1739de5, evidence-efb3f9adec4a1c735fee, evidence-f1ba1a49ff3e526f119e, evidence-fb197b693252737d9eee, evidence-fb3b99361260bfe222c0, evidence-fffdbd2d9a627d7fd662; current classified status is Unknown.",Publish and freeze the normative semantics for Methods with a versioned compatibility contract before depending on it for system-level work.
gap-11d12a65ebd8ed057afa,Normative language contract: Visibility,Language_Gap,[],"[""domain-fbe7266f95fc90d9eac1""]",Unknown,T1_Independent_Language_Platform,Medium,[],"[""A normative specification for Visibility with cross-revision compatibility guarantees and matching parser/typechecker evidence.""]",Language & type system,1,0,1,1,"Visibility is documented in spec/language_core.md, spec/language_reference.md with direct implementation evidence evidence-144d8c1ed5cd5ce830bf, evidence-2274d0884e4bb05a4b7b, evidence-2eeda1ed4d6bcbe8ba41, evidence-36510b73f83da25ec5e4, evidence-5e9356cb17ef95d4be12, evidence-671e810b7e2ffe60fbb3, evidence-ab1211a8f56a35c0eb97, evidence-b789df43e6f1c88b625e, evidence-c48d330d91a1c571cee6, evidence-c79ceda34fd4137276cd, evidence-dd282ac22cd0e59062f2, evidence-e67eed220d2c48ee199b, evidence-efb3f9adec4a1c735fee, evidence-fb197b693252737d9eee, evidence-fffdbd2d9a627d7fd662; current classified status is Unknown.",Publish and freeze the normative semantics for Visibility with a versioned compatibility contract before depending on it for system-level work.
gap-11e2af7ca4e5035a1c70,Driver observability gap,Implementation_Gap,[],"[""capability-observability-driver""]",Unknown,T3_Boot_And_Kernel_Foundation,Medium,"[""gate-773cbe5008ea0adfbf60""]","[""Disclosed limitations must remain recorded: No Nebula driver model exists, so no driver observability exists."",""Driver observability owned by a Nebula driver model with direct implementation evidence.""]",Drivers & Hardware,2,1,0,2,Driver observability: no OS-substrate implementation evidence exists (authoritative source docs/universeos/kernel_boundary.md).,Implement Driver observability in a Nebula-owned OS substrate; compiler or hosted-service operations evidence cannot raise this capability's maturity.
gap-132821e31a82452d307b,Normative language contract: Modules,Language_Gap,[],"[""domain-fbe7266f95fc90d9eac1""]",Unknown,T1_Independent_Language_Platform,Medium,[],"[""A normative specification for Modules with cross-revision compatibility guarantees and matching parser/typechecker evidence.""]",Language & type system,1,0,1,1,"Modules is documented in spec/language_core.md, spec/language_reference.md with direct implementation evidence evidence-144d8c1ed5cd5ce830bf, evidence-2274d0884e4bb05a4b7b, evidence-2eeda1ed4d6bcbe8ba41, evidence-36510b73f83da25ec5e4, evidence-5e9356cb17ef95d4be12, evidence-671e810b7e2ffe60fbb3, evidence-ab1211a8f56a35c0eb97, evidence-b789df43e6f1c88b625e, evidence-c48d330d91a1c571cee6, evidence-c79ceda34fd4137276cd, evidence-dd282ac22cd0e59062f2, evidence-e67eed220d2c48ee199b, evidence-efb3f9adec4a1c735fee, evidence-fb197b693252737d9eee, evidence-fffdbd2d9a627d7fd662; current classified status is Unknown.",Publish and freeze the normative semantics for Modules with a versioned compatibility contract before depending on it for system-level work.
gap-13f6c693265806e1ab32,"GUI, accessibility, and command shell foundations gap",Implementation_Gap,[],"[""capability-userspace-shell""]",Unknown,T4_Isolated_Userspace_Platform,Medium,"[""gate-692688d13d4a1669b9ff""]","[""A Nebula-owned GUI/accessibility/command shell for the isolated userspace platform with direct implementation evidence."",""Disclosed limitations must remain recorded: Host-owned / thin-host adjacency belongs to T0 and cannot raise this T4 capability's maturity above 0.; No Nebula-owned GUI, accessibility, or command shell for an isolated userspace platform exists.""]",Product Shell,2,1,0,2,"GUI, accessibility, and command shell foundations: only host-owned / thin-host adjacency exists (T0), so this T4 capability stays Maturity_Score 0 (authoritative source docs/universeos/architecture.md).","Implement GUI, accessibility, and command shell foundations above a Nebula-owned process/syscall boundary; host-owned adjacency cannot raise this T4 capability's maturity."
gap-149950b4b39140a89f95,OS-substrate subsystem: Process model,Implementation_Gap,[],"[""capability-kernel-process-model""]",Unknown,T3_Boot_And_Kernel_Foundation,High,[],"[""Direct implementation evidence of a kernel process model with process lifecycle management.""]",Kernel,2,1,1,1,Process model has no direct implementation evidence (no matching evidence); per Requirement 10.6 its Maturity_Score is 0 (absent). No kernel process model exists.,Register a positive implementation gate for Process model and produce direct implementation evidence before claiming any maturity; boot or prerequisite gates do not lift this subsystem.
gap-14d61a30dc57852f1300,Installers gap,Ecosystem_Gap,[],"[""capability-release-installers""]",Unknown,T1_Independent_Language_Platform,Medium,[],"[""Published installers with direct implementation evidence.""]",Release Engineering,1,0,0,1,Installers: no direct current implementation evidence (strongest observed status Unknown); authoritative source .github/workflows/release.yml.,Provide direct implementation/execution evidence for Installers; scoped compiler/tooling or Linux backend SDK release evidence cannot raise OS-substrate maturity.
gap-15d5b58da94ae0e8f489,Power-loss durability gap,Implementation_Gap,[],"[""capability-reliability-power-loss""]",Unknown,T4_Isolated_Userspace_Platform,Medium,"[""gate-7e6ff8c1b7bf228d2952""]","[""A power-loss durability guarantee for OS storage with direct implementation evidence."",""Disclosed limitations must remain recorded: No Nebula-owned power-loss durability guarantee exists.""]",System Services,2,2,0,2,Power-loss durability: no OS-substrate implementation evidence exists (authoritative source docs/universeos/architecture.md).,Implement Power-loss durability in a Nebula-owned OS substrate; compiler or hosted-service operations evidence cannot raise this capability's maturity.
gap-170e852861cc1fee5aee,OS-substrate subsystem: Driver lifecycle,Implementation_Gap,[],"[""capability-driver-lifecycle""]",Unknown,T3_Boot_And_Kernel_Foundation,High,[],"[""Direct implementation evidence of a driver lifecycle (registration, bind, unload) in a kernel-owned framework.""]",Drivers & Hardware,2,1,1,1,Driver lifecycle has no direct implementation evidence (no matching evidence); per Requirement 10.6 its Maturity_Score is 0 (absent). No driver lifecycle implementation exists.,Register a positive implementation gate for Driver lifecycle and produce direct implementation evidence before claiming any maturity; boot or prerequisite gates do not lift this subsystem.
gap-17d3c0a7c7274827db5a,Normative language contract: Lexical rules,Language_Gap,[],"[""domain-fbe7266f95fc90d9eac1""]",Unknown,T1_Independent_Language_Platform,Medium,[],"[""A normative specification for Lexical rules with cross-revision compatibility guarantees and matching parser/typechecker evidence.""]",Language & type system,1,0,0,1,"Lexical rules is documented in spec/grammar.ebnf, spec/language_core.md with direct implementation evidence evidence-144d8c1ed5cd5ce830bf, evidence-2274d0884e4bb05a4b7b, evidence-2eeda1ed4d6bcbe8ba41, evidence-36510b73f83da25ec5e4, evidence-5e9356cb17ef95d4be12, evidence-671e810b7e2ffe60fbb3, evidence-ab1211a8f56a35c0eb97, evidence-b789df43e6f1c88b625e, evidence-c48d330d91a1c571cee6, evidence-c79ceda34fd4137276cd, evidence-dd282ac22cd0e59062f2, evidence-e67eed220d2c48ee199b, evidence-efb3f9adec4a1c735fee, evidence-fb197b693252737d9eee, evidence-fffdbd2d9a627d7fd662; current classified status is Unknown.",Publish and freeze the normative semantics for Lexical rules with a versioned compatibility contract before depending on it for system-level work.
gap-1a3187763f7d38ec3274,OS-substrate subsystem: Capability enforcement,Implementation_Gap,[],"[""capability-kernel-capability-enforcement""]",Unknown,T3_Boot_And_Kernel_Foundation,Critical,[],"[""Direct implementation evidence of capability handles mediating access to kernel objects and privileged operations.""]",Kernel,2,2,2,1,Capability enforcement has no direct implementation evidence (no matching evidence); per Requirement 10.6 its Maturity_Score is 0 (absent). No kernel capability model or enforcement exists.,Register a positive implementation gate for Capability enforcement and produce direct implementation evidence before claiming any maturity; boot or prerequisite gates do not lift this subsystem.
gap-1c184ae82a11fb4a190d,Freestanding compiler ABI gap,Implementation_Gap,[],"[""capability-compiler-abi""]",Unknown,T1_Independent_Language_Platform,High,[],"[""A freestanding compiler ABI defined and implemented independently of the hosted C ABI and the host C++ toolchain.""]",Compiler & ABI,2,0,1,2,"No normative, in-scope, independent implementation was found for Freestanding compiler ABI; strongest observed evidence status is Unknown (authoritative source spec/abi_layout.md).","Define and implement Freestanding compiler ABI within its own scope; hosted C ABI, generated C++, clang-backed, or primitive relocatable-object evidence cannot satisfy it."
gap-1c64819653d90702d6a1,OS-substrate subsystem: Interrupt routing,Implementation_Gap,[],"[""capability-driver-interrupt-routing""]",Unknown,T3_Boot_And_Kernel_Foundation,Critical,[],"[""Direct implementation evidence of device interrupt routing to driver handlers.""]",Drivers & Hardware,2,2,1,1,Interrupt routing has no direct implementation evidence (no matching evidence); per Requirement 10.6 its Maturity_Score is 0 (absent). No interrupt-routing implementation exists; it cannot be inferred from boot evidence.,Register a positive implementation gate for Interrupt routing and produce direct implementation evidence before claiming any maturity; boot or prerequisite gates do not lift this subsystem.
gap-1d124ca3450c9facbe1f,Runtime/library/package gap: Reproducible builds,Verification_Gap,[],"[""capability-package-reproducibility""]",Unknown,T1_Independent_Language_Platform,Medium,[],"[""Implemented reproducible builds support with direct implementation evidence."",""Reproducible builds has no accepted implementation evidence.""]",Package & Ecosystem,1,0,1,1,Reproducible builds has no accepted current implementation satisfying Requirement 8.5; strongest observed status is Unknown (no matching evidence found).,Implement and verify Reproducible builds before depending on it for freestanding or ecosystem work.
gap-1de4289ed0583dd796d3,OS-substrate subsystem: Power management,Implementation_Gap,[],"[""capability-hw-power-management""]",Unknown,T3_Boot_And_Kernel_Foundation,High,[],"[""Direct implementation evidence of power-state and CPU idle management.""]",Kernel & Hardware,1,1,1,1,Power management has no direct implementation evidence (no matching evidence); per Requirement 10.6 its Maturity_Score is 0 (absent). No power-management implementation exists.,Register a positive implementation gate for Power management and produce direct implementation evidence before claiming any maturity; boot or prerequisite gates do not lift this subsystem.
gap-1e64d807393a185be911,OS-substrate subsystem: Network devices,Implementation_Gap,[],"[""capability-driver-network-devices""]",Unsupported,T3_Boot_And_Kernel_Foundation,High,[],"[""Direct implementation evidence of a network device driver.""]",Drivers & Hardware,2,1,1,1,"Network devices has no direct implementation evidence (matched evidence evidence-3a36a899e5cd1a19fb7a, evidence-728fa66f193ca3e4e506, evidence-c1d94b67438d35444278, evidence-d1fe291e3ce419d879cc); per Requirement 10.6 its Maturity_Score is 0 (absent). No network device driver exists.",Register a positive implementation gate for Network devices and produce direct implementation evidence before claiming any maturity; boot or prerequisite gates do not lift this subsystem.
gap-2070dba366da08e32da4,OS-substrate subsystem: Boot protocol,Implementation_Gap,[],"[""capability-hw-boot-protocol""]",Planned,T3_Boot_And_Kernel_Foundation,High,[],"[""Direct implementation evidence that a pinned boot protocol/ABI is honored by a linked, bootable kernel artifact.""]",Kernel & Hardware,3,1,2,2,"Boot protocol has no direct implementation evidence (matched evidence evidence-14eaae8dc1d5e6d358f2, evidence-26fb76735e839b771398, evidence-f6f771fa3bb504188583); per Requirement 10.6 its Maturity_Score is 0 (absent). A boot protocol/ABI candidate is documented but no implementation honors it; UOS-BOOT-001 remains planned.",Register a positive implementation gate for Boot protocol and produce direct implementation evidence before claiming any maturity; boot or prerequisite gates do not lift this subsystem.
gap-21541beabcab27b697f6,Semantic stability: Visibility,Verification_Gap,[],"[""domain-fbe7266f95fc90d9eac1""]",Unknown,T1_Independent_Language_Platform,Medium,[],"[""A published compatibility/stability policy governing Visibility with cross-revision guarantees and a negative-change process.""]",Language & type system,1,0,2,1,"Visibility has parser/typechecker implementation evidence (evidence-144d8c1ed5cd5ce830bf, evidence-2274d0884e4bb05a4b7b, evidence-2eeda1ed4d6bcbe8ba41, evidence-36510b73f83da25ec5e4, evidence-5e9356cb17ef95d4be12, evidence-671e810b7e2ffe60fbb3, evidence-ab1211a8f56a35c0eb97, evidence-b789df43e6f1c88b625e, evidence-c48d330d91a1c571cee6, evidence-c79ceda34fd4137276cd, evidence-dd282ac22cd0e59062f2, evidence-e67eed220d2c48ee199b, evidence-efb3f9adec4a1c735fee, evidence-fb197b693252737d9eee, evidence-fffdbd2d9a627d7fd662) but no compatibility policy, so its semantics are not yet stable across revisions.",Define a compatibility policy for Visibility so implemented behavior cannot silently change between revisions.
gap-24bd737adfafee216f74,Normative language contract: Generics,Language_Gap,[],"[""domain-fbe7266f95fc90d9eac1""]",Unknown,T1_Independent_Language_Platform,High,[],"[""A normative specification for Generics with cross-revision compatibility guarantees and matching parser/typechecker evidence.""]",Language & type system,2,0,1,1,"Generics is documented in spec/generics_policy.md, spec/type_system.md with direct implementation evidence evidence-144d8c1ed5cd5ce830bf, evidence-19429a0e9339edd0ae79, evidence-1da33b48535aee270420, evidence-2274d0884e4bb05a4b7b, evidence-268264b031bca69dacf8, evidence-2eeda1ed4d6bcbe8ba41, evidence-36510b73f83da25ec5e4, evidence-588637a269b6497fbb2c, evidence-5e9356cb17ef95d4be12, evidence-64bece4cc18508fe729c, evidence-671e810b7e2ffe60fbb3, evidence-75e1ab5848df15d611f9, evidence-ab1211a8f56a35c0eb97, evidence-ae007f2fb227b343aae0, evidence-aeda7ee5443349dc5a62, evidence-b789df43e6f1c88b625e, evidence-b953368c149d6d373032, evidence-c48d330d91a1c571cee6, evidence-c79ceda34fd4137276cd, evidence-cbeee7c906e568ad120b, evidence-ccbe839da67a36757cd4, evidence-dd282ac22cd0e59062f2, evidence-e67eed220d2c48ee199b, evidence-ec91ba371bb7b1739de5, evidence-efb3f9adec4a1c735fee, evidence-f1ba1a49ff3e526f119e, evidence-fb197b693252737d9eee, evidence-fb3b99361260bfe222c0, evidence-fffdbd2d9a627d7fd662; current classified status is Unknown.",Publish and freeze the normative semantics for Generics with a versioned compatibility contract before depending on it for system-level work.
gap-25069ee03468caec0619,Semantic stability: Lifetimes,Verification_Gap,[],"[""domain-fbe7266f95fc90d9eac1""]",Unknown,T1_Independent_Language_Platform,Critical,[],"[""A published compatibility/stability policy governing Lifetimes with cross-revision guarantees and a negative-change process.""]",Language & type system,1,2,2,1,"Lifetimes has parser/typechecker implementation evidence (evidence-19429a0e9339edd0ae79, evidence-1da33b48535aee270420, evidence-268264b031bca69dacf8, evidence-588637a269b6497fbb2c, evidence-64bece4cc18508fe729c, evidence-75e1ab5848df15d611f9, evidence-ae007f2fb227b343aae0, evidence-aeda7ee5443349dc5a62, evidence-b953368c149d6d373032, evidence-cbeee7c906e568ad120b, evidence-ccbe839da67a36757cd4, evidence-ec91ba371bb7b1739de5, evidence-f1ba1a49ff3e526f119e, evidence-fb3b99361260bfe222c0) but no compatibility policy, so its semantics are not yet stable across revisions.",Define a compatibility policy for Lifetimes so implemented behavior cannot silently change between revisions.
gap-25f7a29878ca19d9bc88,"Concurrency, atomics, ordering, and data-race model gap",Language_Gap,[],"[""capability-concurrency-model""]",Unknown,T1_Independent_Language_Platform,Medium,[],"[""A normative concurrency model covering threads, tasks, actors, structured concurrency, interruption, atomics, memory ordering, data-race freedom, interrupt safety, and synchronization primitives.""]",Language & Safety,2,3,0,2,"No normative, implemented contract was found for this capability; strongest observed evidence status is Unknown (authoritative source spec/language_core.md).",Define the normative semantics and provide direct implementation evidence before relying on this capability for system-level code.
gap-26c6b76c0f75a98fc83c,Strict build matrices gap,Verification_Gap,[],"[""capability-release-strict-build-matrix""]",Unknown,T1_Independent_Language_Platform,Medium,[],"[""A strict multi-platform build matrix with direct execution evidence.""]",Release Engineering,1,0,0,1,Strict build matrices: no direct current implementation evidence (strongest observed status Unknown); authoritative source CMakeLists.txt.,Provide direct implementation/execution evidence for Strict build matrices; scoped compiler/tooling or Linux backend SDK release evidence cannot raise OS-substrate maturity.
gap-2701769020110a39e951,Semantic stability: Nullable values,Verification_Gap,[],"[""domain-fbe7266f95fc90d9eac1""]",Unknown,T1_Independent_Language_Platform,High,[],"[""A published compatibility/stability policy governing Nullable values with cross-revision guarantees and a negative-change process.""]",Language & type system,1,1,2,1,"Nullable values has parser/typechecker implementation evidence (evidence-144d8c1ed5cd5ce830bf, evidence-2274d0884e4bb05a4b7b, evidence-2eeda1ed4d6bcbe8ba41, evidence-36510b73f83da25ec5e4, evidence-5e9356cb17ef95d4be12, evidence-671e810b7e2ffe60fbb3, evidence-ab1211a8f56a35c0eb97, evidence-b789df43e6f1c88b625e, evidence-c48d330d91a1c571cee6, evidence-c79ceda34fd4137276cd, evidence-dd282ac22cd0e59062f2, evidence-e67eed220d2c48ee199b, evidence-efb3f9adec4a1c735fee, evidence-fb197b693252737d9eee, evidence-fffdbd2d9a627d7fd662) but no compatibility policy, so its semantics are not yet stable across revisions.",Define a compatibility policy for Nullable values so implemented behavior cannot silently change between revisions.
gap-27bbafc3f46e5382904a,OS-substrate subsystem: Scheduler,Implementation_Gap,[],"[""capability-kernel-scheduler""]",Unsupported,T3_Boot_And_Kernel_Foundation,Critical,[],"[""Direct implementation evidence of a kernel scheduler selecting execution contexts, backed by timer and context-switch support.""]",Kernel,3,2,2,2,"Scheduler has no direct implementation evidence (matched evidence evidence-0c8a8aaf00020a404353, evidence-1306c26f99af7c3615f1, evidence-1c6b6989a922d26e602a, evidence-26fb76735e839b771398, evidence-3de068dc79035529803e, evidence-43bb99a969425ec0e7bb, evidence-6906469698a8ac64d0f2, evidence-6988aa389d81112c36e5, evidence-6ccb68b631cbc6ab34b0, evidence-7d0495329cbb3d85500a, evidence-92c3c661e31c4ca5813a, evidence-92f50b282fbfc1fdf335, evidence-95a41af333da784d1f6b, evidence-a42c1d0c8ba505ffdd63, evidence-b36b288a1b992f91425b, evidence-b55bf1aafa8c35f67d82, evidence-c1d94b67438d35444278, evidence-c26208dbf9d09e1469fd, evidence-d2b95a83993040395a12, evidence-d317e017757b53bead27, evidence-dea2d9c4aba8fa271e70, evidence-e3a610b897321bed7d51, evidence-f19d5c1a095c7d315769, evidence-f7d0f0c0bb7190d5bc07); per Requirement 10.6 its Maturity_Score is 0 (absent). No kernel scheduler exists; hosted service-manager examples are not scheduler evidence.",Register a positive implementation gate for Scheduler and produce direct implementation evidence before claiming any maturity; boot or prerequisite gates do not lift this subsystem.
